segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,order_list_of_workers,assigned_points
51,27622071,,trunk,13.1027610944,101.139218424,13.1054484997,101.142924059,731932.621913,1449481.6151,22396.5355861,4815.44744339,20372.0811252,45089.6545578,42852.8387456,38856.8164189,18598.8165573,29899.859692,26504.1701176,42821.2445769,2;7;3;1;9;8;6;10;5;4,2
54,27622071,,trunk,13.1107571926,101.150384674,13.1133594539,101.15415311,733136.237262,1450376.72648,21019.9755668,6287.4551041,19215.2942838,46434.3125008,41983.1358072,37467.4048196,19679.3036486,29848.2119728,27994.6440122,41355.9623294,2;3;7;1;9;8;6;10;5;4,2
56,27622071,,trunk,13.1160570215,101.157850181,13.1191050839,101.161198374,733940.949658,1450970.10407,20110.4769733,7274.39395242,18474.4390233,47334.0479841,41426.8548822,36547.7360816,20431.6096684,29859.6939991,28988.249044,40379.7711452,2;3;1;7;9;8;6;10;5;4,2
63,27622071,,trunk,13.1450070154,101.169139338,13.149402218,101.17020545,735137.812752,1454184.17639,18539.2916878,10490.1519348,15109.168378,50735.7811045,38308.5244868,33172.8565218,21660.1957799,28216.6990238,32084.7282575,38068.5382063,2;3;1;7;8;9;6;10;5;4,2
64,27622071,,trunk,13.149402218,101.17020545,13.1532913451,101.172468252,735249.238548,1454671.54185,18415.3885629,10947.616072,14611.016183,51219.6999798,37833.6504657,32698.6255608,21817.770799,27946.412147,32511.3197736,37798.9994337,2;3;1;7;8;9;6;10;5;4,2
65,27622071,,trunk,13.1532913451,101.172468252,13.1566471613,101.175555294,735490.916641,1455104.02657,18173.3756027,11439.5764298,14150.4074171,51714.8761455,37427.1858161,32203.5912385,22107.8624915,27814.1136584,32990.3817835,37428.6580391,2;3;1;7;8;6;9;5;10;4,2
73,27622071,,trunk,13.1805081409,101.196738628,13.1839280609,101.199751834,738096.613971,1458138.71312,15899.3670835,15428.9801557,11034.5308388,55615.3696811,34797.3366665,28261.7066561,25215.2241371,27854.4888448,36984.6729451,34039.8052629,3;2;1;7;8;6;10;5;9;4,3
74,27622071,,trunk,13.1839280609,101.199751834,13.1873303589,101.202785756,738420.034076,1458520.0259,15666.4829174,15928.2144052,10684.3015814,56104.5629707,34484.7401355,27769.5728004,25619.3100721,27896.8698807,37483.9009526,33627.3408705,3;1;2;7;6;8;10;5;9;4,3
75,27622071,,trunk,13.1873303589,101.202785756,13.1907408402,101.205810023,738745.708237,1458899.41372,15443.6023885,16427.3290087,10348.6139006,56593.3304362,34178.9506535,27278.272916,26028.4246542,27951.0777925,37983.3007874,33215.5829252,3;1;2;7;6;8;10;5;9;4,3
82,27622071,,trunk,13.2136605847,101.220267461,13.2176984067,101.222336382,740615.49197,1461829.8922,14772.5602091,19893.6564554,8041.46825601,60061.487953,31794.1311001,23806.5089076,28673.5103838,28083.8148565,41402.0867474,30760.6896959,3;1;2;6;8;7;10;5;9;4,3
