label,n_kahip,graph_weight_kahip,mst_weight_kahip,n_kmeans,graph_weight_kmeans,mst_weight_kmeans
1,102,37811,97,114,29307,63
2,102,25602,66,62,11195,53
3,102,44240,101,89,26516,87
4,102,27986,56,119,31368,63
5,99,37126,80,126,50168,82
6,99,17493,49,132,45718,84
7,102,24706,54,75,13335,49
8,101,23648,58,107,28406,61
9,90,16514,48,119,29312,58
10,101,26626,61,57,12313,66
