label,n_kahip,graph_weight_kahip,mst_weight_kahip,n_kmeans,graph_weight_kmeans,mst_weight_kmeans
0,147,48740,72,135,38786,67
1,140,44381,71,114,33852,80
2,120,38105,65,95,21278,55
3,118,38675,70,155,56326,75
4,88,26545,67,56,11897,65
5,89,39267,83,110,31112,63
6,93,25609,69,90,20148,56
7,42,6884,59,39,3884,40
8,72,15322,62,84,23362,84
9,91,23149,69,122,46717,81
