segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
1,5873630,Mahatma Gandhi Road,primary,28.67445841651474,77.23033004633166,28.679812,77.2292917
18,23133709,Outer Circle,secondary,28.630732725164687,77.21745808588697,28.634761918875125,77.2175423597742
28,23134630,,secondary,28.61085380852475,77.23998594947199,28.61536153530292,77.24016343751158
31,23134734,Windsor Place,secondary,28.620386500000002,77.2186184,28.620386500000002,77.2186184
38,23151254,Subramaniyam Bharti Marg,tertiary,28.604886133192284,77.23581423741801,28.602346322993103,77.23159076656951
50,24563333,Sabz Burj Circle,secondary,28.5933516,77.2433284,28.5933516,77.2433284
54,24563336,Lodhi Road,secondary,28.591957429228415,77.23333878651376,28.591000848643265,77.22835534899166
56,24563336,Lodhi Road,secondary,28.590442598818328,77.22328437013515,28.589930543873734,77.21820701102246
57,24563336,Lodhi Road,secondary,28.589930543873734,77.21820701102246,28.5894551,77.2128962
81,24576721,Kautilya Marg,tertiary,28.601966399999995,77.1936486,28.599441834600327,77.1977999697346
82,24576721,Kautilya Marg,tertiary,28.599441834600327,77.1977999697346,28.59632149999999,77.198252
85,24576739,,tertiary,28.5904118,77.1808061,28.591036,77.1809394
87,24576744,,tertiary,28.589645299999997,77.1825775,28.5904118,77.1808061
94,24576804,,secondary,28.579001828446405,77.05933631234463,28.577161200000003,77.0577741
98,24576821,Azad Hind Fauj Marg,tertiary,28.606176199999997,77.0355532,28.610499424234195,77.03410035598942
101,24577095,Ashoka Road,secondary,28.616535299999995,77.2246787,28.619652300000002,77.2194086
118,24577128,Raisina Road,secondary,28.616768699999994,77.2120156,28.615227000000004,77.2093182
121,24577364,Humayun Road,tertiary,28.601433800000006,77.2299453,28.6019793,77.2297867
127,24577378,Prithviraj Road,secondary,28.59621248131142,77.21735031346995,28.591551199999998,77.212684
133,24577386,,tertiary,28.6066674,77.2187878,28.606435699999995,77.2190048
138,24577391,,secondary,28.61019419999999,77.2117384,28.61019419999999,77.2117384
152,24583321,Ashok Road,secondary,28.626677299999997,77.2073284,28.6263031,77.2077104
153,24583322,Ashok Road,secondary,28.6263031,77.2077104,28.626473799999992,77.207169
158,24583330,Baba Kharak Singh Marg,secondary,28.6273459,77.207227,28.629315436843594,77.21181363934605
176,24584389,,tertiary,28.620087899999998,77.2062209,28.620087899999998,77.2062209
179,24584397,North Avenue,tertiary,28.623156699999996,77.2000672,28.623590299999996,77.1999895
195,24969778,,trunk,28.504253999999992,77.172868,28.504253999999992,77.172868
204,24969815,Chattarpur Main Road,secondary,28.482679471646925,77.18813898127779,28.48682467977488,77.18726971137673
209,24969815,Chattarpur Main Road,secondary,28.50247595723694,77.18084706975304,28.50404147928825,77.1761801965106
215,25524661,Faridabad-Gurgaon Road,secondary,28.41414905677463,77.16138276282155,28.417167128501628,77.15779836569187
219,25524661,Faridabad-Gurgaon Road,secondary,28.426019223624596,77.14666459101669,28.42887547732746,77.14271502386164
227,25524661,Faridabad-Gurgaon Road,secondary,28.44948945591738,77.1221393326727,28.45399571851445,77.12191298138958
230,25524661,Faridabad-Gurgaon Road,secondary,28.461947162474154,77.11747037397703,28.46588213677918,77.11497712882445
231,25524661,Faridabad-Gurgaon Road,secondary,28.46588213677918,77.11497712882445,28.466567311266765,77.11025502308189
267,26662849,,tertiary,28.524344670090663,77.20648427264751,28.5279045,77.2061447
268,26664726,Mehrauli Badarpur Road,secondary,28.523396100000003,77.1899693,28.522445873034577,77.19491380998569
