worker_id,cost,n,path_order
1,21,27,2560;2561;5059;4471;2566;4491;4466;4474;4457;4453;4455;4508;4521;4505;4510;4558;5575;4430;4450;4441;4447;4541;4434;5954;4499;5957;5064
2,22,43,18;3110;2885;2878;2879;2882;906;6037;1335;1345;1328;3058;3288;1158;1753;2861;1157;1156;1748;5634;1752;4042;5904;4075;3988;2863;3981;3958;3926;4037;2867;5536;3319;2860;2857;294;599;2852;2851;2848;894;907;3255
3,13,11,551;552;3282;553;969;4357;3285;4625;4847;641;640
4,16,24,1876;2047;2046;2045;1939;1903;1944;1945;1882;2027;2602;1948;1983;2646;2012;2015;2013;2708;2040;2009;2063;3532;3550;1919
5,21,23,273;1057;1058;1214;3390;1210;3392;4887;4655;3045;3038;3043;1032;1668;2911;2910;5357;1678;1674;1683;1652;4632;5706
6,18,13,724;5799;5840;5834;5802;5434;5433;1171;1175;1176;3328;4839;940
7,15,18,1024;5595;4125;4004;4118;4000;4009;1424;3911;3921;5926;3992;3915;3907;4015;4058;3083;4129
8,22,29,396;405;811;5147;4694;4692;4695;2300;818;3128;5225;3245;3242;5793;1226;1290;4861;4872;1233;3244;4703;5543;2003;5542;824;6139;815;5220;406
9,12,7,215;3147;6171;6134;6136;219;3154
10,11,10,1367;1468;4798;1437;1427;1564;1537;1556;1499;1549
11,16,30,28;3191;1356;1160;38;121;4256;1603;1600;50;1616;1604;54;2935;4248;56;5288;57;5383;6051;127;840;299;856;297;133;374;101;1085;2881
12,18,24,1802;2491;3609;5342;3050;3054;4933;1809;2468;2464;2465;6111;5491;5479;4768;1828;5643;5170;2532;5517;5167;3090;4937;2492
13,24,6,1197;1198;5000;5370;3412;5363
14,14,30,526;527;528;3293;2505;2506;3291;2507;3334;2512;2418;2414;2192;4736;4735;2154;5299;3012;2339;2407;5075;2405;2362;5073;3013;2509;3213;2518;2393;2358
