worker_id,cost,n,path_order
15,28,38,1873;1967;1899;3617;3627;4709;3592;3596;3580;3582;3650;3600;3605;3628;2823;3660;3658;2837;2821;2800;3706;5936;2782;3673;3664;1874;2747;2741;2828;1938;1883;3542;2744;1908;3538;1914;1970;1929
16,7,11,869;5768;5717;4330;5255;5762;5763;6167;5765;5766;4748
17,16,20,296;3182;568;3306;3305;5410;4213;4718;3044;4674;5469;3861;3877;3878;3879;5208;3883;3885;3884;2903
18,14,27,1153;1529;1494;1522;1544;1543;3510;3102;1446;1524;1508;1528;1453;5461;5126;1545;1472;3497;3484;3491;1381;1394;3507;5140;3499;3505;1479
19,17,25,31;118;176;179;1256;152;153;158;5886;339;2334;583;349;1135;81;3210;1080;2946;82;301;852;276;304;5981;138
20,13,6,696;697;698;701;5866;720
21,30,30,1923;3522;2721;3667;2050;2784;2792;2788;2793;5939;2717;5983;5636;3717;5944;3712;3711;4920;3715;5949;3096;2625;1934;1935;5661;2659;2632;2619;2618;3094
22,20,14,737;5237;746;3357;1993;3370;3363;3529;4814;4821;1277;3351;3343;5242
23,16,35,530;4777;2344;2522;1856;5998;5992;5993;6003;5996;6000;2539;2091;2090;2595;2542;2086;2022;2026;2079;2032;2030;2092;2544;2603;2600;4359;4358;6004;6006;2758;2759;2472;1814;1866
24,17,27,2074;2095;5421;5498;5520;5420;2513;2115;2124;6013;6011;6014;2150;2157;2209;5889;5890;2273;2242;2257;2102;4724;2142;5417;3554;2134;2136
25,14,10,2461;5099;5106;5095;5379;5377;5808;5809;5426;5441
26,14,16,227;230;3140;231;1251;3104;3193;1252;6103;1051;5327;5328;1048;1047;5330;1044
27,22,24,383;804;807;5287;4301;4680;4294;1257;2297;1029;2285;1031;5311;1258;4297;4304;3638;2332;2331;2338;3633;587;5284;1719
28,17,25,98;4394;978;977;790;5264;4832;3338;5009;3200;4845;5201;5743;6124;693;691;5760;5451;4395;4390;4402;4403;997;998;5757
29,20,14,2988;3275;4120;4185;5683;4137;4133;4204;4108;4141;4143;5660;5659;5648
30,21,8,204;3227;422;416;6170;624;6187;6164
31,19,27,85;87;5692;369;350;773;3008;465;353;601;4586;5737;4611;5734;5382;5381;4217;1710;1666;393;4221;1131;1630;359;3057;6193;6185
32,27,11,1168;6096;3584;2443;2441;3897;5112;6081;1189;1188;3895
33,19,26,924;5704;5701;3421;1101;1118;3465;2917;1034;1611;1123;4713;4712;1612;3474;2873;3475;1572;4238;4245;1359;1428;1597;1128;1362;2898
34,17,30,316;5298;3415;355;886;1639;2932;1099;2924;2925;438;468;469;770;1220;1147;1724;1733;1701;3201;1646;1695;2929;570;3261;4599;5317;1115;1103;5709
35,20,6,2582;4949;4956;5371;5372;4960
36,19,18,478;3566;5090;2238;3071;3073;2311;2314;2275;6150;5152;5049;3067;3358;1924;6063;6062;2139
37,14,20,1;6120;4809;5486;2986;4292;5988;2390;4289;4287;2396;3570;2381;1313;1314;2970;5272;1734;3218;5157
38,13,10,953;3162;955;5918;1288;3159;5756;1299;4381;3165
39,18,25,195;1039;209;617;5728;5173;4756;268;3174;3176;5084;267;3453;511;427;6039;4617;4602;4604;4744;5772;4742;5335;412;411
40,11,5,5822;5825;5828;5831;5858
41,14,18,476;3009;5781;4313;4350;4351;4337;1245;1238;4356;4354;1671;4321;4328;557;594;559;595
42,13,16,3232;3385;5470;4228;3434;4370;4369;4651;4645;3875;3424;3423;3445;3442;3441;5207
43,23,25,1302;1303;3752;3755;3771;3780;3724;4894;3793;3759;3792;3806;5958;5969;3733;3839;3816;3849;5554;4559;3831;3829;4549;3828;1305
44,17,22,1323;3971;5118;3970;1401;1481;5457;4275;3924;1423;3995;3912;3922;3923;1505;4265;3957;3376;5677;4262;4158;5124
45,17,11,4449;5268;4465;5052;4481;4484;5569;5017;5021;5553;4483
46,19,18,94;751;683;1021;976;930;4407;4404;650;533;5753;4851;542;5051;539;614;1011;672
47,21,22,1788;3398;6019;1857;6113;1830;2627;3607;2727;5618;2690;2622;2605;1981;1845;2772;1847;2773;2774;6152;2764;2475
48,16,19,1379;1384;5128;4201;5922;4144;4157;5406;5585;5401;5583;5029;4191;4090;4068;4170;4168;4277;4278
49,21,31,322;323;4232;577;1087;451;449;896;442;2953;897;2411;472;2416;2401;5534;2421;2403;2426;338;2960;2431;2429;327;5068;2229;5312;4241;5304;455;1222
50,17,15,2572;2587;4906;4929;5625;5624;5610;5613;5612;2725;5674;5630;3697;4923;5632
