worker_id,cost,n,path_order
1,20436,27,2560;2561;5059;2566;4471;4466;4491;4474;4457;4453;4455;4508;4521;4505;4510;4558;4499;5954;4430;5575;4450;4447;4441;4541;4434;5957;5064
2,20693,43,18;3255;2848;2851;894;2852;599;294;907;2860;3319;2857;5536;1158;1753;2861;1157;1156;1748;5634;1752;4042;5904;4075;3988;3981;3926;3958;2863;4037;3288;2867;3058;1328;1335;1345;6037;906;2882;2879;2878;2885;3110
3,11531,11,551;552;3282;553;3285;4357;969;4625;4847;641;640
4,16051,24,1876;1919;3550;3532;2040;2027;2602;1948;1983;2646;1945;1882;2015;2012;2013;2708;2009;2063;1939;1903;1944;2045;2046;2047
5,18580,23,273;5706;4632;1058;1057;1652;1683;1674;1678;5357;2910;2911;1032;1668;3043;3038;3045;4655;3392;4887;1210;3390;1214
6,17867,13,724;3328;4839;940;5799;5840;5834;5802;5434;5433;1171;1175;1176
7,15379,18,1024;4129;3083;4058;4015;3907;3915;3992;5926;3921;3911;1424;4009;4000;4004;4118;4125;5595
8,20824,29,396;406;2003;5543;4703;5793;1226;1290;4861;4872;1233;3244;3242;3245;5225;5220;5542;824;6139;815;3128;818;2300;4695;4694;4692;5147;811;405
9,11562,7,215;3154;219;3147;6134;6136;6171
10,11641,10,1367;1468;4798;1437;1427;1564;1537;1556;1499;1549
11,15794,30,28;3191;1356;2881;101;1085;374;133;297;856;299;840;6051;127;5288;57;56;5383;4248;54;2935;1604;1616;50;1600;1603;4256;121;38;1160
12,15618,24,1802;2492;3090;5643;5170;2532;5167;5517;1828;4768;5479;5491;6111;2465;2468;2464;1809;4933;3054;3050;4937;5342;3609;2491
13,22550,6,1197;1198;3412;5370;5363;5000
14,13915,30,526;2358;2393;2518;3213;2509;3013;3012;2339;2407;2362;2405;5075;5073;2192;4735;2154;4736;5299;2414;2418;2512;3334;2507;3291;2506;2505;3293;528;527
15,26337,38,1873;1970;1914;3542;1883;1938;3538;1908;2744;2828;2741;2747;1874;3664;3673;2823;3660;3658;2837;2782;5936;3706;2800;2821;3650;3600;3605;3628;3617;1899;3627;3582;3580;3596;3592;4709;1929;1967
16,7796,11,869;5768;5717;5255;4330;5762;5763;6167;5765;5766;4748
17,15755,20,296;3182;568;3306;3305;5410;4213;4718;3044;4674;5469;5208;3879;3861;3877;3878;3883;3885;3884;2903
18,13048,27,1153;1479;3505;5140;3499;3507;3484;3497;1472;1545;3491;1381;1394;5461;5126;1453;1528;1508;1524;1446;3102;1522;1544;1543;3510;1494;1529
19,16293,25,31;118;138;5981;304;276;301;852;82;3210;81;1135;583;349;2334;339;5886;1080;2946;176;179;1256;158;152;153
20,13482,6,696;720;5866;701;698;697
21,26944,30,1923;3522;3094;2618;2619;2632;2659;5661;1935;1934;2050;3667;2721;2784;2792;2788;2793;5939;2717;5983;5636;5949;3717;5944;3711;4920;3712;3715;3096;2625
22,18722,14,737;5242;5237;746;3357;1993;3370;4821;4814;1277;3529;3363;3351;3343
23,15348,35,530;4777;2344;2522;1866;1814;2472;2759;2758;6006;6004;4358;4359;2600;2603;2544;2542;2092;2086;2022;2026;2079;2030;2032;2539;6000;2091;2090;2595;5996;6003;5993;5992;5998;1856
24,16685,27,2074;2095;5421;5420;5498;5520;2513;2150;2157;2209;5889;5890;2273;2242;2257;2102;6014;6013;2124;6011;4724;2142;5417;3554;2134;2115;2136
25,14641,10,2461;5099;5106;5095;5379;5377;5808;5809;5426;5441
26,14865,16,227;230;3140;231;1251;3104;3193;1252;6103;1051;5327;5328;1048;1047;5330;1044
27,20821,24,383;804;4680;4301;807;5287;1719;5284;587;3633;2338;2331;2332;5311;1031;2285;1029;2297;1258;1257;4294;4297;4304;3638
28,15474,25,98;790;5264;4832;3338;5009;4845;3200;5201;693;6124;5743;691;5757;5760;998;997;4403;4402;4390;5451;4395;978;977;4394
29,20310,14,2988;3275;4120;4185;5683;4137;4133;4141;4204;4108;4143;5660;5659;5648
30,19549,8,204;3227;624;6187;6164;6170;422;416
31,19522,27,85;87;5692;369;350;1630;1131;4221;393;6193;3057;359;773;3008;465;353;601;4586;5737;4611;5734;5382;5381;4217;1710;1666;6185
32,24955,11,1168;3895;3897;5112;6081;1189;1188;2441;2443;3584;6096
33,17080,26,924;4712;1612;2898;1362;1128;1597;1359;1428;3475;2873;3474;4245;4238;1572;3465;1118;1101;3421;2917;1034;1611;1123;4713;5701;5704
34,17856,30,316;5709;1103;1115;5298;3415;355;5317;4599;3261;438;2925;2924;1099;2932;886;1639;770;469;468;1220;1147;570;2929;1646;1695;3201;1701;1733;1724
35,20725,6,2582;4949;4956;5372;5371;4960
36,17584,18,478;3566;5090;2238;3071;3073;2311;2314;2275;6150;3067;5152;5049;1924;3358;6063;2139;6062
37,14027,20,1;6120;4809;5486;2986;4292;5988;2390;4289;4287;2396;3570;2381;1734;5272;2970;1314;1313;3218;5157
38,13159,10,953;3162;955;5918;1288;3159;5756;1299;3165;4381
39,18342,25,195;1039;209;617;5728;5173;4756;268;3453;267;5084;511;427;3176;3174;6039;4617;4602;4604;4744;5772;4742;5335;412;411
40,11070,5,5822;5858;5825;5828;5831
41,13107,18,476;3009;4351;5781;4313;4350;1245;1238;4356;4354;1671;4337;4321;4328;557;594;559;595
42,12832,16,3232;5207;3441;4370;4369;4651;4645;3875;3423;3424;3445;3442;3434;4228;5470;3385
43,20682,25,1302;1303;3828;3829;4549;3831;3816;3839;3849;5554;4559;3733;5969;5958;3806;3792;3759;3793;3771;3780;3724;4894;3752;3755;1305
44,15871,22,1323;3971;5124;4158;4262;5677;3376;4265;3957;1505;3923;3922;3912;3995;1423;4275;3924;5118;3970;1401;1481;5457
45,16800,11,4449;4483;5553;5021;5017;5569;4481;4484;4465;5052;5268
46,17234,18,94;672;1011;542;5051;614;650;533;5753;4851;4404;4407;930;976;1021;683;751;539
47,21025,22,1788;2475;2764;6152;6019;2627;1830;1857;6113;1847;2772;2773;2774;1845;2605;1981;2622;2690;3607;2727;5618;3398
48,14960,19,1379;4278;4277;4168;4144;4170;4068;4090;4191;5029;5583;5401;5585;5922;5406;4157;4201;5128;1384
49,19715,31,322;323;4232;577;451;449;1087;442;2953;896;897;472;2411;5534;2416;2401;2421;2403;2431;2426;2429;338;2960;327;5068;2229;5304;4241;5312;455;1222
50,16756,15,2572;2587;4906;5625;5624;5613;5610;5674;5612;2725;3697;4923;5632;5630;4929
