segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,assigned_points
1,5873630,Mahatma Gandhi Road,primary,28.6744584165,77.2303300463,28.679812,77.2292917,717941.058442,3173955.30887,37
18,23133709,Outer Circle,secondary,28.6307327252,77.2174580859,28.6347619189,77.2175423598,716772.88539,3169085.70831,2
28,23134630,,secondary,28.6108538085,77.2399859495,28.6153615353,77.2401634375,719017.039019,3166923.58085,11
31,23134734,Windsor Place,secondary,28.6203865,77.2186184,28.6203865,77.2186184,716907.6285,3167941.13626,19
38,23151254,Subramaniyam Bharti Marg,tertiary,28.6048861332,77.2358142374,28.602346323,77.2315907666,718621.396638,3166254.54231,11
50,24563333,Sabz Burj Circle,secondary,28.5933516,77.2433284,28.5933516,77.2433284,719380.319411,3164989.91724,11
54,24563336,Lodhi Road,secondary,28.5919574292,77.2333387865,28.5910008486,77.228355349,718406.025076,3164817.12088,11
56,24563336,Lodhi Road,secondary,28.5904425988,77.2232843701,28.5899305439,77.218207011,717425.617724,3164630.91691,11
57,24563336,Lodhi Road,secondary,28.5899305439,77.218207011,28.5894551,77.2128962,716929.994843,3164564.9488,11
81,24576721,Kautilya Marg,tertiary,28.6019664,77.1936486,28.5994418346,77.1977999697,714503.1997,3165854.58916,19
82,24576721,Kautilya Marg,tertiary,28.5994418346,77.1977999697,28.5963215,77.198252,714914.385042,3165582.24616,19
85,24576739,,tertiary,28.5904118,77.1808061,28.591036,77.1809394,713270.420838,3164551.04227,31
87,24576744,,tertiary,28.5896453,77.1825775,28.5904118,77.1808061,713445.248716,3164469.25117,31
94,24576804,,secondary,28.5790018284,77.0593363123,28.5771612,77.0577741,701410.247131,3163076.05373,46
98,24576821,Azad Hind Fauj Marg,tertiary,28.6061762,77.0355532,28.6104994242,77.034100356,699032.412826,3166047.80754,28
101,24577095,Ashoka Road,secondary,28.6165353,77.2246787,28.6196523,77.2194086,717508.229888,3167525.31841,11
